Questions,Query
Compare The Trade Cost For YearPeriod 2023001 With previous Period,"SELECT current_period.YearPeriod AS CurrentYearPeriod,
current_period.TradeCostsAmount AS CurrentTradeCosts,
previous_period.YearPeriod AS PreviousYearPeriod,
previous_period.TradeCostsAmount AS PreviousTradeCosts,
current_period.TradeCostsAmount - previous_period.TradeCostsAmount AS TradeCosts_Difference,
(current_period.TradeCostsAmount - previous_period.TradeCostsAmount)*100/previous_period.TradeCostsAmount AS 'TradeCosts_Difference%'
FROM
(SELECT YearPeriod,
SUM(Amount) AS TradeCostsAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Trade'
AND YearPeriod = 2023001
GROUP BY YearPeriod) AS current_period
JOIN
(SELECT YearPeriod,
SUM(Amount) AS TradeCostsAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Trade'
AND YearPeriod = 2022013
GROUP BY YearPeriod) AS previous_period ON current_period.YearPeriod = 2023001
AND previous_period.YearPeriod = 2022013;"
Compare The Trade Cost For YearPeriod 2023007 With previous Period,"SELECT current_period.YearPeriod AS CurrentYearPeriod,
current_period.TradeCostsAmount AS CurrentTradeCosts,
previous_period.YearPeriod AS PreviousYearPeriod,
previous_period.TradeCostsAmount AS PreviousTradeCosts,
current_period.TradeCostsAmount - previous_period.TradeCostsAmount AS TradeCosts_Difference,
(current_period.TradeCostsAmount - previous_period.TradeCostsAmount)*100/previous_period.TradeCostsAmount AS 'TradeCosts_Difference%'
FROM
(SELECT YearPeriod,
SUM(Amount) AS TradeCostsAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Trade'
AND YearPeriod = 2023007
GROUP BY YearPeriod) AS current_period
JOIN
(SELECT YearPeriod,
SUM(Amount) AS TradeCostsAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Trade'
AND YearPeriod = 2023006
GROUP BY YearPeriod) AS previous_period ON current_period.YearPeriod = 2023007
AND previous_period.YearPeriod = 2023006;"
What Is My Trade Cost YTD for 2023 period 3,"SELECT
SUM(TotalTradeCosts) as 'TotalTradeCostsYTD'
FROM
(
	SELECT YearPeriod,
	SUM(Amount) AS 'TotalTradeCosts'
	FROM [dbo].[aggregated_data] AS ad
	JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
	WHERE h.Level1 = 'Trade'  AND ad.YearPeriod BETWEEN '2023001' AND '2023003'
	GROUP BY YearPeriod
) as subset"
What Is My Trade Cost YTD for 2023 period 13,"""SELECT
SUM(TotalTradeCosts) as 'TotalTradeCostsYTD'
FROM
(
	SELECT YearPeriod,
	SUM(Amount) AS 'TotalTradeCosts'
	FROM [dbo].[aggregated_data] AS ad
	JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
	WHERE h.Level1 = 'Trade'  AND ad.YearPeriod BETWEEN '2023001' AND '2023013'
	GROUP BY YearPeriod
) as subset"""
What Is My Trade Cost YTD,"SELECT
SUM(TotalTradeCosts) as 'TotalTradeCostsYTD'
FROM
(
	SELECT YearPeriod,
	SUM(Amount) AS 'TotalTradeCosts'
	FROM [dbo].[aggregated_data] AS ad
	JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
	WHERE h.Level1 = 'Trade'  AND ad.YearPeriod BETWEEN FORMAT(CURRENT_TIMESTAMP,'yyyy')+'001' 
	AND FORMAT(CURRENT_TIMESTAMP,'yyyy')+RIGHT(REPLICATE('0',3)+FORMAT(CURRENT_TIMESTAMP,'MM'),3)
	GROUP BY YearPeriod
) as subset"
compare Trade Cost at YTD level for 2023 period 3 with previous year,"with current_ytd as (
	SELECT
	SUM(TotalTradeCosts) as 'YTD_2023003'
	FROM
	(
		SELECT YearPeriod,
		SUM(Amount) AS 'TotalTradeCosts'
		FROM [dbo].[aggregated_data] AS ad
		JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
		WHERE h.Level1 = 'Trade'  AND ad.YearPeriod BETWEEN '2023001' AND '2023003'
		GROUP BY YearPeriod
	) as sq
),
previous_ytd as (
	SELECT
	SUM(TotalTradeCosts) as 'YTD_2022003'
	FROM
	(
		SELECT YearPeriod,
		SUM(Amount) AS 'TotalTradeCosts'
		FROM [dbo].[aggregated_data] AS ad
		JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
		WHERE h.Level1 = 'Trade'  AND ad.YearPeriod BETWEEN '2022001' AND '2022003'
		GROUP BY YearPeriod
	) as sq
)
select
YTD_2023003,
YTD_2022003,
((YTD_2023003 - YTD_2022003) / YTD_2022003)*100 as 'Diff_%'
from 
current_ytd, previous_ytd"
Compare Trade Cost at YTD level for 2023 period 13 with previous year,"with current_ytd as (
	SELECT
	SUM(TotalTradeCosts) as 'YTD_2023013'
	FROM
	(
		SELECT YearPeriod,
		SUM(Amount) AS 'TotalTradeCosts'
		FROM [dbo].[aggregated_data] AS ad
		JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
		WHERE h.Level1 = 'Trade'  AND ad.YearPeriod BETWEEN '2023001' AND '2023013'
		GROUP BY YearPeriod
	) as sq
),
previous_ytd as (
	SELECT
	SUM(TotalTradeCosts) as 'YTD_2022013'
	FROM
	(
		SELECT YearPeriod,
		SUM(Amount) AS 'TotalTradeCosts'
		FROM [dbo].[aggregated_data] AS ad
		JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
		WHERE h.Level1 = 'Trade'  AND ad.YearPeriod BETWEEN '2022001' AND '2022013'
		GROUP BY YearPeriod
	) as sq
)
select
YTD_2023013,
YTD_2022013,
((YTD_2023013 - YTD_2022013) / YTD_2022013)*100 as 'Diff_%'
from 
current_ytd, previous_ytd"
Highlight The Periods For Which prime cost Is Out Of Confidence Interval During Year 2022,"SELECT YearPeriod, [Amount%], ConfindenceHigh, Confindencelow
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfindenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confindencelow""
FROM
(SELECT YearPeriod,
SUM(PrimeCostsAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(PrimeCostsAmount)/SUM([GSV Amount]) AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'Prime Costs' THEN Amount
ELSE 0
END AS PrimeCostsAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Prime Costs',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE ([Amount%] < Confindencelow
or [Amount%] > ConfindenceHigh)
AND YearPeriod LIKE '2022%'"
Highlight The Periods For Which Prime Cost sales Is Out Of Confidence Interval During Year 2022 and 2021,"SELECT YearPeriod, [Amount%], ConfindenceHigh, Confindencelow
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfindenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confindencelow""
FROM
(SELECT YearPeriod,
SUM(PrimeCostsAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(PrimeCostsAmount)/SUM([GSV Amount]) AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'Prime Costs' THEN Amount
ELSE 0
END AS PrimeCostsAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Prime Costs',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE ([Amount%] < Confindencelow
or [Amount%] > ConfindenceHigh)
AND (YearPeriod LIKE '2022%'
OR YearPeriod LIKE '2021%')"
What Is My Prime Cost As Percentage Of GSV For Period 1 Year 2023?,"SELECT YearPeriod,
SUM(PrimeCostsAmount) AS PrimeCost,
ROUND((SUM(PrimeCostsAmount) / SUM([GSV Amount])) * 100,2) AS PrimeCostPercentage
FROM
(SELECT YearPeriod,
CASE
WHEN Level1 = 'Prime Costs' THEN Amount
ELSE 0
END AS PrimeCostsAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Prime Costs',
'Total GSV Third Party')
AND YearPeriod = '2023001'
GROUP BY YearPeriod;"
What Is My Prime Cost As Percentage Of GSV For Period 13 Year 2023?,"SELECT YearPeriod,
SUM(PrimeCostsAmount) AS PrimeCost,
ROUND((SUM(PrimeCostsAmount) / SUM([GSV Amount])) * 100,2) AS PrimeCostPercentage
FROM
(SELECT YearPeriod,
CASE
WHEN Level1 = 'Prime Costs' THEN Amount
ELSE 0
END AS PrimeCostsAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Prime Costs',
'Total GSV Third Party')
AND YearPeriod = '2023013'
GROUP BY YearPeriod;"
What Is My Prime Cost For Period 1 Year 2023?,"SELECT YearPeriod,
SUM(PrimeCostsAmount) AS PrimeCost,
(SUM(PrimeCostsAmount) / SUM([GSV Amount])) * 100 AS PrimeCostPercentage
FROM
(SELECT YearPeriod,
CASE
WHEN Level1 = 'Prime Costs' THEN Amount
ELSE 0
END AS PrimeCostsAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Prime Costs',
'Total GSV Third Party')
AND YearPeriod = '2023001'
GROUP BY YearPeriod;"
What Is My Prime Cost For Period 13 Year 2023?,"SELECT YearPeriod,
SUM(PrimeCostsAmount) AS PrimeCost,
(SUM(PrimeCostsAmount) / SUM([GSV Amount])) * 100 AS PrimeCostPercentage
FROM
(SELECT YearPeriod,
CASE
WHEN Level1 = 'Prime Costs' THEN Amount
ELSE 0
END AS PrimeCostsAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Prime Costs',
'Total GSV Third Party')
AND YearPeriod = '2023013'
GROUP BY YearPeriod;"
Show Me The Trend Of Prime Cost As Percentage Of GSV Along With Confidence High And Low For Year 2023?,"SELECT YearPeriod,
Amount AS PrimeCost,
ROUND([Amount%],2) AS 'PrimeCost%',
ROUND(ConfidenceHigh,2) AS 'ConfidenceHigh',
ROUND(Confidencelow,2) AS 'Confidencelow'
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfidenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confidencelow""
FROM
(SELECT YearPeriod,
SUM(PrimeCostsAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(PrimeCostsAmount)/SUM([GSV Amount])*100 AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'Prime Costs' THEN Amount
ELSE 0
END AS PrimeCostsAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Prime Costs',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE YearPeriod LIKE '2023%'"
Show Me The Trend Of Prime Cost Along With Confidence High And Low For Year 2023?,"SELECT YearPeriod,
Amount AS PrimeCost,
[Amount%] AS 'PrimeCost%',
ConfindenceHigh,
Confindencelow
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfindenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confindencelow""
FROM
(SELECT YearPeriod,
SUM(PrimeCostsAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(PrimeCostsAmount)/SUM([GSV Amount]) AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'Prime Costs' THEN Amount
ELSE 0
END AS PrimeCostsAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Prime Costs',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE YearPeriod LIKE '2023%'"
Compare The Prime cost For YearPeriod 2023001 With Same Period Last Year,"SELECT current_period.YearPeriod AS CurrentYearPeriod,
current_period.PrimeCostsAmount AS CurrentPrimeCosts,
previous_period.YearPeriod AS PreviousYearPeriod,
previous_period.PrimeCostsAmount AS PreviousPrimeCosts,
current_period.PrimeCostsAmount - previous_period.PrimeCostsAmount AS PrimeCosts_Difference,
(current_period.PrimeCostsAmount - previous_period.PrimeCostsAmount)*100/previous_period.PrimeCostsAmount AS 'PrimeCosts_Difference%'
FROM
(SELECT YearPeriod,
SUM(Amount) AS PrimeCostsAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Prime Costs'
AND YearPeriod = 2023001
GROUP BY YearPeriod) AS current_period
JOIN
(SELECT YearPeriod,
SUM(Amount) AS PrimeCostsAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Prime Costs'
AND YearPeriod = 2022001
GROUP BY YearPeriod) AS previous_period ON current_period.YearPeriod = 2023001
AND previous_period.YearPeriod = 2022001;"
Compare The Prime For YearPeriod 2023001 With previous Period,"SELECT current_period.YearPeriod AS CurrentYearPeriod,
current_period.PrimeCostAmount AS CurrentPrimeCost,
previous_period.YearPeriod AS PreviousYearPeriod,
previous_period.PrimeCostAmount AS PreviousPrimeCost,
current_period.PrimeCostAmount - previous_period.PrimeCostAmount AS PrimeCost_Difference,
(current_period.PrimeCostAmount - previous_period.PrimeCostAmount)*100/previous_period.PrimeCostAmount AS 'PrimeCost_Difference%'
FROM
(SELECT YearPeriod,
SUM(Amount) AS PrimeCostAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Prime Costs'
AND YearPeriod = 2023001
GROUP BY YearPeriod) AS current_period
JOIN
(SELECT YearPeriod,
SUM(Amount) AS PrimeCostAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Prime Costs'
AND YearPeriod = 2022013
GROUP BY YearPeriod) AS previous_period ON current_period.YearPeriod = 2023001
AND previous_period.YearPeriod = 2022013;"
Compare The Prime For YearPeriod 2023007 With previous Period,"SELECT current_period.YearPeriod AS CurrentYearPeriod,
current_period.PrimeCostAmount AS CurrentPrimeCost,
previous_period.YearPeriod AS PreviousYearPeriod,
previous_period.PrimeCostAmount AS PreviousPrimeCost,
current_period.PrimeCostAmount - previous_period.PrimeCostAmount AS PrimeCost_Difference,
(current_period.PrimeCostAmount - previous_period.PrimeCostAmount)*100/previous_period.PrimeCostAmount AS 'PrimeCost_Difference%'
FROM
(SELECT YearPeriod,
SUM(Amount) AS PrimeCostAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Prime Costs'
AND YearPeriod = 2023007
GROUP BY YearPeriod) AS current_period
JOIN
(SELECT YearPeriod,
SUM(Amount) AS PrimeCostAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'Prime Costs'
AND YearPeriod = 2023006
GROUP BY YearPeriod) AS previous_period ON current_period.YearPeriod = 2023007
AND previous_period.YearPeriod = 2023006;"
What Is My Prime Cost YTD for 2023 period 3,"SELECT
SUM(TotalPrimeCosts) as 'TotalPrimeCostsYTD'
FROM
(
	SELECT YearPeriod,
	SUM(Amount) AS 'TotalPrimeCosts'
	FROM [dbo].[aggregated_data] AS ad
	JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
	WHERE h.Level1 = 'Prime Costs'  AND ad.YearPeriod BETWEEN '2023001' AND '2023003'
	GROUP BY YearPeriod
) as subset"
What Is My Prime Cost YTD for 2023 period 13,"SELECT
SUM(TotalPrimeCosts) as 'TotalPrimeCostsYTD'
FROM
(
	SELECT YearPeriod,
	SUM(Amount) AS 'TotalPrimeCosts'
	FROM [dbo].[aggregated_data] AS ad
	JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
	WHERE h.Level1 = 'Prime Costs'  AND ad.YearPeriod BETWEEN '2023001' AND '2023013'
	GROUP BY YearPeriod
) as subset"
What Is My Prime Cost YTD,"SELECT
SUM(TotalPrimeCosts) as 'TotalPrimeCostsYTD'
FROM
(
	SELECT YearPeriod,
	SUM(Amount) AS 'TotalPrimeCosts'
	FROM [dbo].[aggregated_data] AS ad
	JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
	WHERE h.Level1 = 'Prime Costs'  AND ad.YearPeriod BETWEEN FORMAT(CURRENT_TIMESTAMP,'yyyy')+'001' 
	AND FORMAT(CURRENT_TIMESTAMP,'yyyy')+RIGHT(REPLICATE('0',3)+FORMAT(CURRENT_TIMESTAMP,'MM'),3)
	GROUP BY YearPeriod
) as subset"
compare Prime Cost at YTD level for 2023 period 3 with previous year,"with current_ytd as (
	SELECT
	SUM(TotalPrimeCosts) as 'YTD_2023003'
	FROM
	(
		SELECT YearPeriod,
		SUM(Amount) AS 'TotalPrimeCosts'
		FROM [dbo].[aggregated_data] AS ad
		JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
		WHERE h.Level1 = 'Prime Costs'  AND ad.YearPeriod BETWEEN '2023001' AND '2023003'
		GROUP BY YearPeriod
	) as sq
),
previous_ytd as (
	SELECT
	SUM(TotalPrimeCosts) as 'YTD_2022003'
	FROM
	(
		SELECT YearPeriod,
		SUM(Amount) AS 'TotalPrimeCosts'
		FROM [dbo].[aggregated_data] AS ad
		JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
		WHERE h.Level1 = 'Prime Costs'  AND ad.YearPeriod BETWEEN '2022001' AND '2022003'
		GROUP BY YearPeriod
	) as sq
)
select
YTD_2023003,
YTD_2022003,
((YTD_2023003 - YTD_2022003) / YTD_2022003)*100 as 'Diff_%'
from 
current_ytd, previous_ytd"
compare Prime Cost at YTD level for 2023 period 13 with previous year,"with current_ytd as (
	SELECT
	SUM(TotalPrimeCosts) as 'YTD_2023013'
	FROM
	(
		SELECT YearPeriod,
		SUM(Amount) AS 'TotalPrimeCosts'
		FROM [dbo].[aggregated_data] AS ad
		JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
		WHERE h.Level1 = 'Prime Costs'  AND ad.YearPeriod BETWEEN '2023001' AND '2023013'
		GROUP BY YearPeriod
	) as sq
),
previous_ytd as (
	SELECT
	SUM(TotalPrimeCosts) as 'YTD_2022013'
	FROM
	(
		SELECT YearPeriod,
		SUM(Amount) AS 'TotalPrimeCosts'
		FROM [dbo].[aggregated_data] AS ad
		JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
		WHERE h.Level1 = 'Prime Costs'  AND ad.YearPeriod BETWEEN '2022001' AND '2022013'
		GROUP BY YearPeriod
	) as sq
)
select
YTD_2023013,
YTD_2022013,
((YTD_2023013 - YTD_2022013) / YTD_2022013)*100 as 'Diff_%'
from 
current_ytd, previous_ytd"
Compare The GSV For YearPeriod 2023001 With Same Period Last Year,"SELECT current_year.YearPeriod AS CurrentYearPeriod,
current_year.GSV AS CurrentYearGSV,
previous_year.YearPeriod AS PreviousYearPeriod,
previous_year.GSV AS PreviousYearGSV,
current_year.GSV - previous_year.GSV AS GSV_Difference,
(current_year.GSV - previous_year.GSV)*100/previous_year.GSV AS 'GSV_Difference%'
FROM
(SELECT YearPeriod,
SUM([GSV Amount]) AS GSV
FROM
(SELECT YearPeriod,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID
WHERE hierarchy.Level1 = 'Total GSV Third Party' ) AS subquery
GROUP BY YearPeriod) AS current_year
JOIN
(SELECT YearPeriod,
SUM([GSV Amount]) AS GSV
FROM
(SELECT YearPeriod,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID
WHERE hierarchy.Level1 = 'Total GSV Third Party' ) AS subquery
GROUP BY YearPeriod) AS previous_year ON current_year.YearPeriod = '2023001'
AND previous_year.YearPeriod = '2022001';"
Highlight The Periods For Which Affiliate sales Is Out Of Confidence Interval During Year 2022,"SELECT YearPeriod,
Amount AS AffiliateSales,
[Amount%] AS 'AffiliateSales%',
ConfindenceHigh,
Confindencelow
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfindenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confindencelow""
FROM
(SELECT YearPeriod,
SUM(AffiliateSalesAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(AffiliateSalesAmount)/SUM([GSV Amount]) AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'Affiliate Sales' THEN Amount
ELSE 0
END AS AffiliateSalesAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Affiliate Sales',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE YearPeriod LIKE '2022%'"
Highlight The Periods For Which Affiliate sales Is Out Of Confidence Interval During Year 2022 and 2021,"SELECT YearPeriod,
Amount AS AffiliateSales,
[Amount%] AS 'AffiliateSales%',
ConfindenceHigh,
Confindencelow
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfindenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confindencelow""
FROM
(SELECT YearPeriod,
SUM(AffiliateSalesAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(AffiliateSalesAmount)/SUM([GSV Amount]) AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'Affiliate Sales' THEN Amount
ELSE 0
END AS AffiliateSalesAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('Affiliate Sales',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE (YearPeriod LIKE '2022%' or YearPeriod LIKE '2021%')"
